Race Name,Race Type,Race Title,Race Moto,Race Home,Race Description,Strength,Intelligence,Agility,Sorcery,Critical Hit,Dodge,Counter,Block,Healing
Shadow,Demon,Darkness Crawlers,None,Dark Realm,"Hailing from the foreboding Dark Realm, the Shadow demons, thrive in obscurity. Masters of elusive malevolence, they traverse shadows, orchestrating chaos with their sinister, ethereal presence.",1,0,0,1,3,0,0,2,0
Luminaire,Human,Lumin Mage,"Harnessing Luminari light, we illuminate the path of unity",Luminaire Haven,"Connecting to the Luminu Dimension, these powerful Mage possess the rare gift to summon the radiant Luminari, forming a symbiotic alliance that radiates harmonious brilliance.",0,1,0,1,1,0,2,1,1
Sylpharan,Mystical Entity,Sylph's Grace,"In the currents of air and light, we soar with grace",Sylpha,"Ethereal beings of air and light, Sylpharans navigate the skies with grace, their translucent wings carrying them effortlessly across the heavens.",0,0,0,2,2,0,0,1,2
Ignitarian,Mystical Entity,Flameforged Kin,"From the molten heart, our fire ignites",Ignition,"Fiery creatures hailing from the depths of molten caverns, Ignitarians possess bodies forged in flame, capable of manipulating and harnessing the power of fire.",0,0,0,2,2,0,0,2,1
Aquanoxian,Mystical Entity,Biolumin Seafolk,"Beneath the waves, our biolumin essence shines",Noxian Plaines,"Amphibious denizens of the deep seas, Aquanoxians boast bioluminescent scales and formidable aquatic abilities, creating vibrant undersea civilizations.",0,0,0,2,1,1,0,2,1
Drakari,Mystical Entity,Serpent Keepers,"Guardians of the arcane scales, wisdom entwined",Draka,"Serpentine beings with scales of iridescent hues, Drakari are wise and ancient, guardians of arcane knowledge hidden within subterranean realms.",0,0,0,2,1,0,2,1,1
Luminari,Mystical Entity,Dimensional Radiants,"Traversing realms, embodiment of cosmic light",Luminu Dimension,"Luminous entities of pure energy, the Luminari traverse dimensions, embodying the radiant forces of creation and embodying the balance between light and shadow.",0,0,0,2,3,0,0,1,1
Umbrathrall,Mystical Entity,Twilight Shadows,"In unseen whispers, shadows dance our path",Umbrathrall,"Shadow-wrought beings existing in the twilight realms, Umbrathralls move unseen and possess the ability to manipulate shadows for both stealth and offense.",0,0,0,2,2,1,0,1,1
Feytouched,Mystical Entity,Feywild Enigmas,"Born of Feywild's magic, nature's kin we remain",Feywild,"Enigmatic beings born of the mystical energy of the Feywild, Feytouched possess an inherent connection to nature, capable of charming and communing with the flora and fauna around them.",0,0,0,2,1,0,0,2,2
Terracian,Mystical Entity,Stonecraft Architects,"From living rock, we shape realms anew",Terracia,"Earthbound beings with bodies composed of living rock and crystals, Terracians are master craftsmen, sculptors, and builders, shaping landscapes with their geological abilities.",0,0,0,2,3,0,0,1,1
Celestial,Mystical Entity,Radiant Guardians,"In celestial realms, purity wields divine grace",Celestial Realms,"Radiant beings from the celestial realms, these ethereal entities embody purity and divine grace, wielding holy powers to protect the realms from malevolent forces.",0,0,0,2,2,0,0,1,2
Mechanixian,AI Machine,Arcane Machinists,"Gears enchanted, our existence a harmonious blend",Unknown,"Living constructs of intricate gears and enchanted metals, Mechanixians are the result of ancient arcane artifice, blending magic and machinery to form sentient beings with a unique perspective on existence.",0,2,0,0,2,0,2,1,0
Grommash,Orc,Mountain Lords,"In Grommash's peaks, strength echoes through the stone",Grommash Mountains,"Towering Mountain Orcs, masters of endurance and might, call the Grommash Mountains home, forging resilience from the crags they inhabit.",2,0,0,0,3,0,0,2,0
Zarnak,Orc,Frostforged Nomads,"In Zarnak's icy grasp, resilience thrives",Zarnak,"Ice Orcs of Zarnak traverse frozen landscapes, their fortitude matched only by the biting cold of their icy homeland.",2,0,0,0,2,0,0,3,0
Narza,Orc,Emberbound Legion,"Within Narza's depths, flame is our guide",Narza Depths,"Fire Orcs of Narza Depths wield the essence of fire, navigating the subterranean realms with unyielding flames as their constant companions.",2,0,0,0,2,0,1,2,0
Nocturne,Orc,Umbral Vanguard,Nocturne's shadows veil our prowess,Nocturne Umbra,"Cave Orcs of Nocturne Umbra, adept in stealth and shadow, emerge as formidable warriors from the depths of eternal darkness.",2,0,0,0,2,0,0,3,0
Vorkath,Orc,Vorkath Marauders,"Beneath Vorkath's boughs, nature guides our blades",Vorkath City,"Wood Orcs thrive in the arboreal haven of Vorkath City, blending with the forest to become adept woodland warriors.",2,0,0,0,2,0,2,1,0
Doomhammer,Dwarf,Granite Smiths,"In Doomhammer's halls, resilience forged in stone",Doomhammer,"Cave Dwarfs of Doomhammer master craftsmanship within the cavernous depths, wielding the might of stone and steel.",1,0,1,0,2,2,0,1,0
Stormrage,Dwarf,Thunderforged Guardians,Stormrage's peaks echo with our thunder,Stormrage,"Mountain Dwarfs of Stormrage embrace the power of thunder and lightning, standing tall as guardians amidst the high mountainous realms.",1,0,1,0,2,0,2,1,0
Ombrosa,Elf,Ombrosa Dreamweavers,"In Ombrosa's embrace, dreams blossom",Ombrosa,"Wood Elves of Ombrosa commune with nature, their agile movements guided by the harmonious whispers of the enchanted forest.",0,0,2,0,0,2,0,2,1
Chronocrest,Elf,River Scribes,"In Chronocrest's flow, history eternally inscribed",Chronocrest,"River Elves of Chronocrest, keepers of ancient wisdom, harmonize with the river's current, shaping their culture along the banks of time.",0,0,1,1,0,1,2,1,1
Ironfang,Elf,Subterranean Artisans,"Within Ironfang's embrace, craft echoes in stone",Ironfang Hollow,"Cave Elves of Ironfang Hollow master the art of subterranean craftsmanship, carving intricate tales into the living rock.",0,0,2,0,1,2,0,1,1
Zephyrian,Elf,Skyward Navigators,"In Zephyria's winds, our destiny soars",Zephyria,"Air Elves of Zephyria dance on the currents, their wings navigating the skies with ethereal grace.",0,0,0,2,0,1,1,1,2
Ephemeral,Elf,Arcane Wisps,"Within Ephemeral's magic, existence unfolds",Ephemeral,"Magic Elves of Ephemeral, beings of transient enchantment, weave spells that blur the boundaries of reality.",0,0,1,1,1,1,0,1,2